id,question,eventId,slug,conditionId,startDate,endDate,closedTime,category,liquidityNum,volumeNum,prob_yes,prob_no,lastTradePrice,bestBid,bestAsk,active,closed,marketType,fpmmLive,resolutionSource,clobTokenIdYes,clobTokenIdNo
243942,"MLB: Who will win Tampa Bay Rays vs. Minnesota Twins, scheduled for April 29, 7:11 PM ET?",5667,mlb-who-will-win-tampa-bay-rays-vs-minnesota-twins-scheduled-for-april-29-711-pm-et,0x3e789c82c8b7d613bd9d81a030ba4aedeab29ad8bb852536b9122e85dba9accd,2022-04-29 14:06:07+00:00,2022-04-29 00:00:00+00:00,2022-04-30 07:16:33+00:00,Sports,69.49,65.88,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,http://mlb.com/scores,96955019177089630408198554643319121749714649133645097031915475174108222054199,18528131839252141691579515411522105919430924174382991975185119636207060013536
242615,NHL: Will the Predators beat the Senators by more than 1.5 goals in their March 29 matchup (8 PM ET)?,5668,nhl-will-the-predators-beat-the-senators-by-more-than-1pt5-goals-in-their-march-29-matchup-8-pm-et,0x3534f03e9c76f31731a1f493cc21f1c0228ba4f495ddf645b27261ae3c6f4f3b,2022-03-29 00:00:00+00:00,2022-03-29 00:00:00+00:00,2022-03-30 08:45:33+00:00,Sports,150.0,758.53,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nhl.com/scores/,25668126294531851372084134493521624850284926479872559791833292717082346481907,88598322747704779597683435558284394659483898646892781420765241538960315985658
240857,NHL: Will the Avalanche beat the Ducks by more than 1.5 goals in their January 19 matchup?,5669,nhl-will-the-avalanche-beat-the-ducks-by-more-than-15-goals-in-their-january-19-matchup,0xfe76f7bec46970dd89d7685980a55c11bddfe775b02da8be52e3227c070cc027,2022-01-19 20:07:12+00:00,2022-01-19 00:00:00+00:00,2022-01-24 15:06:48+00:00,Sports,10.0,1702.4,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nhl.com/scores/,88150615809061307105053891619935658917043497799924307665396369499244158444772,84819759434209631659455591491624092839464139578065703041318712023198101241567
242669,"NBA: Who will win Hawks vs. Cavaliers, scheduled for March 31, 7:40 PM ET?",5670,nba-who-will-win-hawks-vs-cavaliers-scheduled-for-march-31-740-pm-et,0xa555ec44f70c10200896780127d1719f079b5300af84accc295a7a5a257e7fcb,2022-03-31 16:33:42+00:00,2022-03-31 00:00:00+00:00,2022-04-01 06:46:58+00:00,Sports,150.02,739.88,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,94168358912157938786177043750245302192383766047913911369884451953769142907247,88484527350874077662861304777852118066622716801952192516942261382730142057045
242538,"NCAAB: Will the Duke Blue Devils beat the Arkansas Razorbacks by more than 3.5 points in their March 26, 8:49 PM ET matchup?",5672,ncaab-will-the-duke-blue-devils-beat-the-arkansas-razorbacks-by-more-than-3pt5-points-in-their-march-26-849-pm-et-matchup,0x782b047459fa54ed6cd291c6f11ba094687a136b89d4351410d3dd9536547995,2022-03-26 19:41:19+00:00,2022-03-26 00:00:00+00:00,2022-03-27 17:22:16+00:00,Sports,197.9,11109.54,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.ncaa.com/,87985640224019654657801182772631062855868320766329423198064125971323243150949,35974311569950229565235093788621746533133415985857293990466578151685069597409
242546,"NHL: Will the Lightning beat the Islanders by more than 1.5 goals in their March 27, 2:00 PM ET matchup?",5674,nhl-will-the-lightning-beat-the-islanders-by-more-than-1pt5-goals-in-their-march-27-200-pm-et-matchup,0x4d0fc526ec2012d77590399da3c79304288d3f08e7dcbbc2cf5bb4f735998ccd,2022-03-27 17:13:18+00:00,2022-03-27 00:00:00+00:00,2022-03-28 09:32:25+00:00,Sports,150.0,713.62,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nhl.com/scores/,15410463179886098734184148263661137699574787523755342873532250060373524418907,58874558705592806849108815003218833294696878882566760900638400504588978646383
242607,"NBA: Who will win Bulls vs. Wizards, scheduled for March 29 (7 PM ET)?",5675,nba-who-will-win-bulls-vs-wizards-scheduled-for-march-29-7-pm-et,0xdf532de7de8d78cb075fc9d27fe904c97b70d495f85d849ee6ed75c32cfdd683,2022-03-29 15:48:30+00:00,2022-03-29 00:00:00+00:00,2022-03-30 07:15:39+00:00,Sports,150.0,963.63,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,106779660623993742625869380065191829410618052100806122217746802875477624059407,63524949247863573253194353840515874037642877314783376214863209167790282217847
243998,"NBA: Who will win Heat vs. 76ers, scheduled for May 2, 7:30 PM ET?",5676,nba-who-will-win-heat-vs-76ers-scheduled-for-may-2-730-pm-et,0x1557acdf8b8c2945f4eec949cce3bde8cfc9d82938dd5f30352718bea0096cce,2022-05-02 14:14:40+00:00,2022-05-02 00:00:00+00:00,2022-05-03 05:46:08+00:00,Sports,96.03,1016.84,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,100312115644293826138737696450573205109647857117080449683049400731258119009595,46730739139100302062611946808150325944088402008027352471093832510281116465665
241962,"NBA: Who will win the Nets vs. Hornets, scheduled for March 8 (7 PM ET)?",5677,nba-who-will-win-the-nets-vspt-hornets-scheduled-for-march-8-7-pm-et,0xbf2b4b73d417450ab11ca78c615ff7e22ced29e6f617872de465fce8820187e7,2022-03-08 18:33:35+00:00,2022-03-08 00:00:00+00:00,2022-03-09 19:16:27+00:00,Sports,200.0,2027.05,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,93521732827393061494033367431952066559423845396599068233274496195679387762712,106898931789687461813646911141015596640392424124794678927185556254128388699939
243555,"NHL: Will the Wild beat the Kraken by more than 1.5 goals in their April 22, 8:00 PM ET matchup?",5678,nhl-will-the-wild-beat-the-kraken-by-more-than-1pt5-goals-in-their-april-22-800-pm-et-matchup,0x4921be9b242217d1ed18843909f333f74dc734cda0ded795bab749ce58a8a502,2022-04-22 14:41:24+00:00,2022-04-22 00:00:00+00:00,2022-04-23 07:18:00+00:00,Sports,50.0,130.76,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nhl.com/scores/,84471298576556397840039350868389678141556604279804523473241092407961035331954,38266910344283191992583484543367161823442927664371203757373698415401509280598
