market_id,tailend_start,avg_annualized_vol_post_tailend,n_prices_post_tailend
536519,2025-04-17 00:00:06+00:00,8.907225718729434,38
524363,2025-02-21 23:20:04+00:00,6.272179654933788,59
542120,2025-08-03 18:00:08+00:00,4.236171332342516,159
542394,2025-05-16 09:00:06+00:00,4.211371771504022,26
501198,2024-04-26 05:40:03+00:00,3.8479789823541415,94
540323,2025-05-20 03:00:07+00:00,3.7994007985119134,47
540325,2025-05-30 18:00:08+00:00,3.618016816229372,30
582143,2025-08-28 03:00:10+00:00,3.573730360729995,271
542532,2025-05-07 23:20:06+00:00,3.5223386612321566,111
540321,2025-05-30 18:00:08+00:00,3.5137455835448437,30
582148,2025-08-28 03:00:09+00:00,3.507907997295703,271
582147,2025-08-28 03:00:12+00:00,3.4548706418118327,271
540322,2025-05-20 03:00:07+00:00,3.4513304119997286,47
554574,2025-06-26 00:00:08+00:00,3.430189622282575,44
582150,2025-08-28 03:00:12+00:00,3.2197627551003785,271
559300,2025-07-20 14:00:07+00:00,3.1102461670303843,382
559282,2025-07-20 14:00:07+00:00,3.0561068271043856,382
542121,2025-07-24 18:00:10+00:00,3.017945543717432,175
251782,2023-07-12 00:00:02+00:00,2.8856437028528785,59
582151,2025-08-28 03:00:05+00:00,2.766491925490489,271
505082,2024-08-14 15:40:01+00:00,2.7653072809159607,73
577293,2025-08-19 02:20:02+00:00,2.7144664990827634,297
559291,2025-08-24 07:20:04+00:00,2.702298338194506,282
532744,2025-03-31 18:00:06+00:00,2.6589203425118235,49
583417,2025-08-29 20:40:17+00:00,2.63704000051566,266
572222,2025-08-16 07:40:13+00:00,2.623131177022884,34
555452,2025-06-25 14:00:08+00:00,2.6210234124556475,109
540387,2025-04-30 18:00:06+00:00,2.6056346964640307,42
567676,2025-07-26 11:40:09+00:00,2.596803407552964,74
559281,2025-07-20 14:00:07+00:00,2.5890985935311805,382
583425,2025-08-29 20:40:13+00:00,2.5509510516014107,266
572635,2025-08-13 13:00:25+00:00,2.508056585827547,313
542081,2025-06-12 21:00:07+00:00,2.4862241118220405,242
583479,2025-08-30 05:00:15+00:00,2.4202285257591556,265
540386,2025-05-03 21:00:06+00:00,2.4095139449088943,37
542445,2025-05-14 12:00:07+00:00,2.3985612933197378,29
577082,2025-08-19 19:00:14+00:00,2.333109112497182,88
555799,2025-06-27 06:00:07+00:00,2.312068786068422,249
583426,2025-08-29 20:40:10+00:00,2.308823509099062,266
535362,2025-04-10 03:00:05+00:00,2.3086671179273335,35
542435,2025-05-08 06:00:06+00:00,2.2852196848847726,39
583471,2025-08-30 05:00:05+00:00,2.2725268982147266,265
583487,2025-08-31 22:40:06+00:00,2.264215832674589,260
559284,2025-07-20 14:00:07+00:00,2.2361557621986874,382
583423,2025-08-29 20:40:12+00:00,2.213068672775729,266
559305,2025-07-20 14:00:07+00:00,2.178628132327062,382
583474,2025-08-30 05:00:02+00:00,2.1730155586374855,265
582152,2025-08-28 03:00:08+00:00,2.157409162765954,271
547451,2025-05-28 06:00:06+00:00,2.1513884026403933,45
577296,2025-08-19 02:20:03+00:00,2.142818864339566,297
577089,2025-08-26 01:00:08+00:00,2.1313179632981356,70
577291,2025-08-19 02:20:04+00:00,2.1276602569631167,297
559306,2025-07-20 14:00:07+00:00,2.1213156771771198,382
251903,2023-08-02 04:20:02+00:00,2.1166439804323276,90
554575,2025-06-26 00:00:08+00:00,2.1080994663332855,44
577290,2025-08-19 02:20:03+00:00,2.0828895593445367,297
583473,2025-08-30 05:00:18+00:00,2.0615845781351614,265
583435,2025-08-31 22:40:17+00:00,2.0405034845432186,260
577037,2025-08-22 13:40:04+00:00,2.024425647141283,47
559303,2025-07-20 14:00:07+00:00,2.0236013958000867,382
583422,2025-08-29 20:40:18+00:00,2.0219540830903666,266
542868,2025-08-29 09:00:22+00:00,2.0203931854243455,149
582149,2025-08-28 03:00:07+00:00,2.01971992580452,271
540320,2025-05-20 03:00:07+00:00,2.0153762786623317,47
575361,2025-08-15 06:40:04+00:00,2.0028480515122986,71
521462,2025-02-04 23:00:04+00:00,1.9953584089343126,254
253379,2023-12-13 20:40:02+00:00,1.9907500883715663,54
253446,2024-01-06 03:00:02+00:00,1.9876426500200706,76
557770,2025-07-01 00:00:08+00:00,1.9820397984838654,51
537268,2025-04-17 15:00:06+00:00,1.9758124339198055,41
577079,2025-08-26 01:00:04+00:00,1.9729107618555983,70
572587,2025-08-08 08:00:10+00:00,1.9711105918788294,328
559278,2025-07-20 14:00:07+00:00,1.9467979394180308,382
559280,2025-07-20 14:00:07+00:00,1.9419425988386325,382
535632,2025-04-10 03:00:05+00:00,1.9357665535698283,34
542886,2025-08-29 09:00:16+00:00,1.9231957592347944,148
583428,2025-08-29 20:40:18+00:00,1.9224326385759583,266
567660,2025-07-26 03:20:10+00:00,1.9102598331456855,77
525180,2025-02-25 19:00:04+00:00,1.9088842027155175,100
555417,2025-06-29 03:00:07+00:00,1.8891434279798087,36
542880,2025-08-29 09:00:16+00:00,1.8672694869541477,148
583468,2025-08-30 05:00:06+00:00,1.8648776175714312,265
542900,2025-08-29 09:00:15+00:00,1.8641682672947182,148
532747,2025-03-31 18:00:06+00:00,1.8423143035980405,49
577083,2025-08-26 01:00:08+00:00,1.8261926880061863,70
542876,2025-08-29 09:00:06+00:00,1.8259001582874954,148
583430,2025-08-31 22:40:05+00:00,1.8150679505455263,260
515381,2024-12-12 02:20:03+00:00,1.8140756223238637,59
253581,2024-01-04 01:00:02+00:00,1.812612282106121,87
537257,2025-04-22 00:00:06+00:00,1.8028319977938279,56
583491,2025-08-31 22:40:15+00:00,1.7980276136981614,260
575321,2025-08-15 06:40:03+00:00,1.7968535259165384,73
559302,2025-07-20 14:00:07+00:00,1.7950961660577924,382
546814,2025-05-23 06:00:07+00:00,1.7922784747392502,135
577288,2025-08-19 02:20:03+00:00,1.7690567963532615,297
581832,2025-09-03 09:00:21+00:00,1.761003382779167,81
542878,2025-08-29 09:00:08+00:00,1.7409923520018318,148
581610,2025-08-27 18:40:06+00:00,1.733452290610198,82
557828,2025-07-01 00:00:08+00:00,1.7278898149608377,51
537258,2025-04-22 00:00:06+00:00,1.7216345645817752,56
570104,2025-08-03 11:20:08+00:00,1.7068266446805005,84
583424,2025-08-29 20:40:16+00:00,1.6993436136757991,266
572221,2025-08-07 23:40:04+00:00,1.6950285067960225,58
583477,2025-08-30 05:00:05+00:00,1.688323907602189,265
542874,2025-08-29 09:00:10+00:00,1.6881547562463222,148
583470,2025-08-30 05:00:06+00:00,1.6870386137332718,265
559319,2025-08-15 23:20:03+00:00,1.679960336747372,306
581582,2025-08-27 18:40:09+00:00,1.6672814473983302,183
577295,2025-08-19 02:20:02+00:00,1.6655642125048398,297
575376,2025-08-16 07:40:03+00:00,1.6561749897724711,70
549852,2025-06-06 15:00:06+00:00,1.6519380592197943,60
532898,2025-04-02 21:40:06+00:00,1.639875364073722,69
575400,2025-08-17 17:00:13+00:00,1.6381328160125088,64
548269,2025-07-22 06:00:08+00:00,1.6236888691309146,210
505084,2024-08-19 04:00:02+00:00,1.622968382842126,60
559275,2025-07-20 14:00:07+00:00,1.621537481069438,382
559294,2025-08-11 02:40:03+00:00,1.6211815101642981,320
521874,2025-02-19 21:20:04+00:00,1.617121799699967,117
533162,2025-04-02 21:40:06+00:00,1.6170609468940798,82
565760,2025-08-26 09:20:03+00:00,1.60771517776828,233
575469,2025-08-16 16:00:05+00:00,1.607669244809933,68
559298,2025-07-20 14:00:07+00:00,1.6060269266165181,382
569287,2025-08-05 05:00:09+00:00,1.5995274323292168,58
559304,2025-07-20 14:00:07+00:00,1.597730375281668,382
559283,2025-07-20 14:00:07+00:00,1.5968677012634451,382
559296,2025-07-20 14:00:07+00:00,1.5961613998558184,382
554650,2025-06-27 06:00:07+00:00,1.594458570064356,28
254083,2024-01-25 13:40:02+00:00,1.5912747926537485,103
554655,2025-06-25 09:00:08+00:00,1.5909908767099197,31
581144,2025-08-28 03:00:16+00:00,1.5867993200092783,99
539377,2025-04-25 03:00:05+00:00,1.586411023226707,100
575343,2025-08-15 23:20:06+00:00,1.5848485632876397,69
542076,2025-06-12 21:00:07+00:00,1.5793002880045333,242
575363,2025-08-15 06:40:03+00:00,1.570473282467128,73
583420,2025-08-29 20:40:12+00:00,1.565789240762004,266
581592,2025-08-27 18:40:11+00:00,1.5653075122373843,79
587257,2025-09-09 23:20:14+00:00,1.5648076509324365,157
549865,2025-06-14 11:20:08+00:00,1.5607615228893903,49
536503,2025-04-14 17:00:05+00:00,1.560744237269414,62
581600,2025-08-27 18:40:06+00:00,1.5571243660489738,82
508437,2024-10-03 07:20:02+00:00,1.5570251271070663,83
253125,2023-11-19 05:00:03+00:00,1.5563813828135602,125
559324,2025-08-15 23:20:13+00:00,1.555029897090422,306
581579,2025-08-27 18:40:02+00:00,1.5493452383060313,79
581608,2025-08-27 18:40:08+00:00,1.5455548660355038,79
581604,2025-08-27 18:40:10+00:00,1.5428353648596669,82
549814,2025-06-08 22:00:06+00:00,1.5414890247676227,154
559323,2025-08-15 23:20:09+00:00,1.5371839568599415,306
577078,2025-08-26 01:00:11+00:00,1.5301946565450337,70
537263,2025-04-15 18:00:05+00:00,1.5293528549850421,33
581594,2025-08-27 18:40:15+00:00,1.5269024270411822,79
253365,2023-12-09 08:20:02+00:00,1.5234639334427698,156
540305,2025-05-03 06:00:07+00:00,1.5151618691470767,74
542872,2025-08-29 09:00:08+00:00,1.5114160594015034,148
559286,2025-07-20 14:00:07+00:00,1.5108661595642203,382
558866,2025-07-09 11:20:08+00:00,1.508936587622323,54
559320,2025-08-15 23:20:06+00:00,1.5081978443823674,306
539395,2025-05-13 06:00:07+00:00,1.5071265679828483,71
569282,2025-08-09 09:00:23+00:00,1.5065620244769171,46
253434,2023-12-14 05:00:02+00:00,1.4944135143111081,96
581606,2025-08-27 18:40:05+00:00,1.4875405900605774,79
580859,2025-08-26 09:20:02+00:00,1.4779812526361968,104
575337,2025-08-15 23:20:08+00:00,1.475306364120857,71
253674,2024-01-09 06:00:03+00:00,1.468055924469204,67
580004,2025-08-26 01:00:06+00:00,1.46310512675001,277
254049,2024-01-24 04:20:03+00:00,1.4583043302574348,67
